userName,score,at,content
Citra Wardhani,5,2026-04-29 19:50:43,"sangat memudahkan disaat pendaftaran ke faskes lanjutan, semoga kedepannya lebih baik lagi"
Nur Hidayatul,5,2026-04-29 19:39:08,trbantu sekali dengan fasilitas kesehatan dan pengobatan yang baik
Ieza Hadi,5,2026-04-29 19:36:41,aplikasi yg mudah dan berkualitas untuk memulai pengobatan
Ninok Suci,5,2026-04-29 19:28:34,Pelayanan Terbaik Dari Mobile JKN. Terima Kasih.
Dargas arva,2,2026-04-29 19:19:50,"Gabisa bisa verifikasi otp , cek dong aplikasi nya berjalan lancar atau engga. padahal dibaca baca banyak yg kasih ulasan mengenai kode otp tapi gaada tindakan, ini niatnya mempermudah atau mempersulit? aplikasi nya diadakan tujuan nya buat apa? tolong dong ditinjau lagi"
Wahyu Hidayat,5,2026-04-29 19:17:48,ok
Kartika Hasanah,1,2026-04-29 19:17:27,"malu malu in ,aplikasi Ini hampir dimiliki seluruh warga indonesia tapi performa nya jelek banget,kaya kurang niat bikin nya,banyak bug,HARUS LOG IN BERKALI KALI harus masukin captcha berkali kali,ngerepotin banget,Sidik jari juga yang tujuannya untuk memudahkan login susah banget tersimpannya,Ini gimana kerja developernya?kita disini costumer ngga gratis pake aplikasinya,Tolong ya point point diatas diperhatikan lagi,Ngerepotin,lama,waste my time."
feelgood 98,1,2026-04-29 19:13:21,"aplikasi jelek ,ladang korup gausah pake aplikasi segala"
MEMED TARMEDI,1,2026-04-29 18:57:33,ribet banget mau login nya
Edy Susilo (Edy brewok),5,2026-04-29 18:57:09,"sangat membantu untuk informasi kesehatan mulai dari fasilitas,pelayanan, dan pengaduan"
Nina Inayah,5,2026-04-29 18:56:33,good
Yaw,5,2026-04-29 18:53:11,"Bagus, dan pertahankan ya"
Vulon,1,2026-04-29 18:51:58,"kalo bisa kode otp nya jangan lewat sms soalnya susah masuk mending lewat wa biasanya langsung bisa, ini aku masih belum bisa daftar karena otp nya ngga masuk sama sekali udah nunggu bejam jam tetep ga muncul , kalo memang pengen buat aplikasi yang membantu orang jangan sampe nyusahin kek gini"
